X,Y,Z
-183.517258,237.660263,33.302082
-183.561569,237.633698,33.224815
-183.56105,237.63385,33.157898
-183.538757,237.533829,32.957169
-183.466965,237.567398,32.8578
-183.455673,237.618118,32.761986
-183.448029,237.620682,32.706749
-183.417282,237.641617,32.638168
-183.405334,237.644836,32.623421
-183.395935,237.649734,32.632404
-183.38826,237.650162,32.662987
-183.384674,237.652664,32.708111
-183.398758,237.633789,32.80151
-183.394394,237.630539,32.878006
-183.452316,237.586472,33.054546
-183.416473,237.613174,33.163364
-183.359268,237.841614,33.46579
-183.380615,237.731293,33.660404
-183.374756,237.644135,33.881142
-183.510757,237.689743,34.271603
-183.522888,237.654495,34.554562
-183.521027,237.590622,34.811543
-183.508163,237.663239,35.224934
-183.530304,237.743393,35.611897
-183.471603,237.684357,35.985386
-183.501404,237.579315,36.29504
-183.486755,237.74498,36.840572
-183.483948,237.717377,37.194649
-183.510468,237.584869,37.602039
-183.507278,237.599701,38.034939
-183.414932,237.74054,38.415207
-183.421936,237.738342,38.683758
-183.437225,237.676163,38.912861
-183.439392,237.642746,39.230312
-183.43515,237.626434,39.319447
-183.438431,237.625153,39.354477
-183.446579,237.621368,39.339146
-183.454178,237.631485,39.282887
-183.462158,237.6353,39.205528
-183.475266,237.746124,39.036022
-183.476517,237.76741,38.940075
-183.352478,237.768631,38.670662
-183.360489,237.776093,38.576141
-183.363724,237.779266,38.486584
-183.40712,237.795624,38.357384
-183.38089,237.769852,38.243095
-183.398285,237.787491,38.063274
-183.458359,237.60936,37.634605
-183.373001,237.749222,37.277737
-183.404724,237.766541,36.892853
-183.446075,237.621719,36.244045
-183.495026,237.661057,35.76326
-183.51033,237.699905,35.066433
-183.564819,237.633133,34.456635
-183.465958,237.694595,33.74437
-183.583771,237.631241,33.185581
-183.478317,237.636581,32.507404
-183.56842,237.524643,31.799816
-183.481842,237.616287,31.26445
-183.447983,237.547668,30.765265
-183.43541,237.545029,30.285727
-183.377914,237.548767,29.788382
-183.260178,237.615616,29.424133
-183.217636,237.711411,29.088196
-183.195313,237.654694,28.658028
-183.139664,237.630966,28.27071
-183.076431,237.537247,27.936853
-183.046646,237.640091,27.693817
-182.958359,237.695145,27.542109
-182.946671,237.68074,27.44873
-182.938477,237.686508,27.43049
-182.940308,237.709732,27.495443
-183.010635,237.659744,27.622656
-182.999771,237.613647,27.792076
-183.052887,237.622238,28.169012
-183.025818,237.71376,28.537003
-183.061798,237.672531,28.896923
-183.100067,237.645355,29.366194
-183.207611,237.598022,29.757748
-183.10434,237.765396,30.436623
-183.20076,237.582428,31.003412
-183.124817,237.834518,31.828285
-183.190765,237.717468,32.612202
-183.099808,237.847519,33.580975
-183.006256,237.871429,34.506672
-182.798004,237.933136,35.569801
-182.736618,237.962494,36.648331
-182.592331,238.024948,37.901779
-182.431503,238.058121,39.159161
-182.201477,238.134247,40.407227
-181.970093,238.237015,41.559238
-181.730896,238.258667,42.659542
-181.384262,238.357605,43.837158
-181.124054,238.399231,44.962494
-180.800369,238.579788,46.049355
-180.495834,238.600128,47.007359
-180.243668,238.625702,48.12962
-179.97699,238.708984,49.323586
-179.75975,238.699341,50.598179
-179.469009,238.701233,51.946709
-179.276749,238.72496,53.261597
-179.056076,238.84874,54.514698
-178.837372,238.831039,55.829716
-178.506134,238.766434,57.197964
-178.078262,238.784866,58.439415
-177.716782,238.943588,59.875332
-177.254974,238.921173,61.293903
-176.83519,238.925049,62.695904
-176.42395,238.988708,64.1353
-175.866653,239.140961,65.706314
-175.556625,239.095734,67.031319
-175.166809,238.920288,68.26358
-174.539902,239.104294,69.55677
-174.03537,239.054565,70.688622
-173.353699,239.259903,71.931244
-172.796478,239.017181,73.019852
-172.017838,239.147079,74.134605
-171.204239,239.166397,75.330536
-170.53096,239.023087,76.255005
-169.68541,238.974548,77.176003
-168.931686,239.14917,78.163445
-168.169876,239.142609,79.057083
-167.282288,239.316467,79.898277
-166.51123,239.31485,80.609749
-165.669464,239.267639,81.366638
-164.772049,239.149994,81.96756
-163.909241,239.147903,82.519196
-163.062119,239.118347,83.053169
-161.965149,239.132294,83.369781
-161.091568,239.100998,83.719467
-160.091125,239.232147,83.906998
-159.221054,239.148956,84.099014
-158.190033,239.19313,84.172707
-157.350174,239.037659,84.314735
-156.289413,239.232086,84.397713
-155.343597,239.200165,84.537285
-154.329971,239.021988,84.461685
-153.370575,239.195618,84.621712
-152.50589,239.046951,84.603897
-151.545853,239.03064,84.609421
-150.496185,238.980865,84.460152
-149.52388,238.971497,84.509872
-148.592178,238.92218,84.548157
-147.715515,238.845657,84.459351
-146.732971,238.769409,84.384697
-145.839188,238.581528,84.360855
-144.840271,238.682739,84.44593
-143.817017,238.748993,84.44738
-142.910034,238.61145,84.531609
-141.946762,238.699005,84.622276
-141.241196,238.628448,84.708313
-140.276672,238.66449,84.876274
-139.547531,238.654144,84.999664
-138.688705,238.578918,84.997475
-137.860077,238.560623,85.220428
-136.937393,238.639618,85.306847
-136.121124,238.512695,85.481064
-135.391449,238.452148,85.610008
-134.57518,238.524658,85.83889
-134.003464,238.387833,85.780586
-133.445358,238.43988,85.833206
-132.883392,238.433395,85.748535
-132.421265,238.354126,85.668121
-131.920822,238.348282,85.526794
-131.596863,238.413712,85.432953
-131.295898,238.34967,85.162254
-131.088943,238.430161,84.825287
-130.988907,238.324692,84.270302
-130.870987,238.391663,83.74678
-130.794159,238.352112,83.182587
-130.7957,238.448135,82.478516
-130.852768,238.387054,81.65052
-130.802536,238.467056,80.815239
-130.997498,238.309097,79.892563
-131.054993,238.395248,78.927559
-131.191574,238.447754,77.813416
